text,clean_text,created_at,date,hour,month,day_of_week,user_location,country,hashtags,sentiment,compound_score,retweet_count,like_count
Russian propaganda is everywhere online. Stay critical. #InfoWar #StandWithUkraine,russian propaganda is everywhere online stay critical #infowar #standwithukraine,2023-01-02 19:49:18.879439,2023-01-02,19,2023-01,Monday,Ukraine,Ukraine,"#infowar, #standwithukraine",Negative,-0.5106,178,226
Israel's response is disproportionate. Too many civilian casualties. #Gaza #CeasefireNow,israels response is disproportionate too many civilian casualties #gaza #ceasefirenow,2023-01-03 00:12:14.767383,2023-01-03,0,2023-01,Tuesday,Turkey,Turkey,"#gaza, #ceasefirenow",Neutral,0.0,28,27
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #Gaza #Israel,praying for peace in gaza too many innocent lives lost #gaza #palestine #gaza #israel,2023-01-03 04:35:10.655327,2023-01-03,4,2023-01,Tuesday,Italy,Other,"#gaza, #palestine, #gaza, #israel",Positive,0.7269,70,31
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #SlavaUkraini #Zelensky,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #slavaukraini #zelensky,2023-01-03 08:58:06.543271,2023-01-03,8,2023-01,Tuesday,Russia,Russia,"#slavaukraini, #slavaukraini, #zelensky",Positive,0.7827,30,29
The truth about Donbas is more complex than media shows. #RussiaUkraine #PeaceNotWar,the truth about donbas is more complex than media shows #russiaukraine #peacenotwar,2023-01-03 13:21:02.431215,2023-01-03,13,2023-01,Tuesday,United States,USA,"#russiaukraine, #peacenotwar",Positive,0.3182,15,125
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #StopRussia,zelenskys speech was powerful and moving ukraine will not fall #ukraine #stoprussia,2023-01-03 17:43:58.319159,2023-01-03,17,2023-01,Tuesday,United States,USA,"#ukraine, #stoprussia",Positive,0.4215,6,49
Global oil prices rising due to geopolitical tensions. #Conflict #War,global oil prices rising due to geopolitical tensions #conflict #war,2023-01-03 22:06:54.207103,2023-01-03,22,2023-01,Tuesday,,Other,"#conflict, #war",Negative,-0.836,14,34
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #Hamas,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #hamas,2023-01-04 02:29:50.095047,2023-01-04,2,2023-01,Wednesday,United Kingdom,UK,"#gazaunderattack, #hamas",Negative,-0.802,26,4
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #Ukraine,prayers for the people of ukraine this war must end #standwithukraine #ukraine #ukraine,2023-01-04 06:52:45.982991,2023-01-04,6,2023-01,Wednesday,Russia,Russia,"#standwithukraine, #ukraine, #ukraine",Negative,-0.6833,13,133
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #Israel,praying for peace in gaza too many innocent lives lost #gaza #palestine #israel,2023-01-04 11:15:41.870935,2023-01-04,11,2023-01,Wednesday,India,India,"#gaza, #palestine, #israel",Positive,0.7269,84,192
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #Ukraine #StandWithUkraine,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #ukraine #standwithukraine,2023-01-04 15:38:37.758879,2023-01-04,15,2023-01,Wednesday,Germany,Germany,"#stoprussia, #ukraine, #standwithukraine",Negative,-0.7717,82,51
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #NATO,zelenskys speech was powerful and moving ukraine will not fall #ukraine #nato,2023-01-04 20:01:33.646823,2023-01-04,20,2023-01,Wednesday,Turkey,Turkey,"#ukraine, #nato",Positive,0.4215,14,129
Aid must reach Gaza immediately. People are starving. #GazaAid #IsraelHamasWar #Palestine,aid must reach gaza immediately people are starving #gazaaid #israelhamaswar #palestine,2023-01-05 00:24:29.534767,2023-01-05,0,2023-01,Thursday,Ukraine,Ukraine,"#gazaaid, #israelhamaswar, #palestine",Negative,-0.4019,115,120
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #StandWithUkraine,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #standwithukraine,2023-01-05 04:47:25.422711,2023-01-05,4,2023-01,Thursday,Israel,Israel,"#slavaukraini, #standwithukraine",Positive,0.7827,76,132
Moscow protests against the war — brave Russians standing up. #AntiWar #Sanctions,moscow protests against the war brave russians standing up #antiwar #sanctions,2023-01-05 09:10:21.310655,2023-01-05,9,2023-01,Thursday,Netherlands,Other,"#antiwar, #sanctions",Negative,-0.34,39,141
Aid must reach Gaza immediately. People are starving. #GazaAid #Palestine #GazaUnderAttack,aid must reach gaza immediately people are starving #gazaaid #palestine #gazaunderattack,2023-01-05 13:33:17.198599,2023-01-05,13,2023-01,Thursday,Israel,Israel,"#gazaaid, #palestine, #gazaunderattack",Negative,-0.4019,94,128
Russian people are not responsible for Putin's decisions. #PeaceNotWar #Russia #Sanctions,russian people are not responsible for putins decisions #peacenotwar #russia #sanctions,2023-01-05 17:56:13.086543,2023-01-05,17,2023-01,Thursday,United Kingdom,UK,"#peacenotwar, #russia, #sanctions",Negative,-0.2411,21,124
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #Israel,praying for peace in gaza too many innocent lives lost #gaza #palestine #israel,2023-01-05 22:19:08.974487,2023-01-05,22,2023-01,Thursday,,Other,"#gaza, #palestine, #israel",Positive,0.7269,2,625
Russia's economy under massive pressure from sanctions. #RussiaUkraine #RussiaUkraine #PeaceNotWar,russias economy under massive pressure from sanctions #russiaukraine #russiaukraine #peacenotwar,2023-01-06 02:42:04.862431,2023-01-06,2,2023-01,Friday,,Other,"#russiaukraine, #russiaukraine, #peacenotwar",Negative,-0.296,40,101
Aid organizations providing relief in conflict zones. #War,aid organizations providing relief in conflict zones #war,2023-01-06 07:05:00.750375,2023-01-06,7,2023-01,Friday,Germany,Germany,#war,Negative,-0.4767,9,97
Economic impact of the war being felt worldwide. #Peace,economic impact of the war being felt worldwide #peace,2023-01-06 11:27:56.638319,2023-01-06,11,2023-01,Friday,United Kingdom,UK,#peace,Negative,-0.1027,14,41
Russian propaganda is everywhere online. Stay critical. #InfoWar #Zelensky,russian propaganda is everywhere online stay critical #infowar #zelensky,2023-01-06 15:50:52.526263,2023-01-06,15,2023-01,Friday,Germany,Germany,"#infowar, #zelensky",Negative,-0.5106,14,113
More weapons needed for Ukraine to defend itself. #UkraineSupport #NATO,more weapons needed for ukraine to defend itself #ukrainesupport #nato,2023-01-06 20:13:48.414207,2023-01-06,20,2023-01,Friday,Netherlands,Other,"#ukrainesupport, #nato",Negative,-0.4927,110,49
Western media bias against Russia is obvious. Two sides to every story. #PeaceNotWar #Sanctions,western media bias against russia is obvious two sides to every story #peacenotwar #sanctions,2023-01-07 00:36:44.302151,2023-01-07,0,2023-01,Saturday,,Other,"#peacenotwar, #sanctions",Negative,-0.1027,1,207
Russia's economy under massive pressure from sanctions. #RussiaUkraine #RussiaUkraine,russias economy under massive pressure from sanctions #russiaukraine #russiaukraine,2023-01-07 04:59:40.190095,2023-01-07,4,2023-01,Saturday,France,France,"#russiaukraine, #russiaukraine",Negative,-0.296,92,25
Russian people are not responsible for Putin's decisions. #PeaceNotWar #Putin,russian people are not responsible for putins decisions #peacenotwar #putin,2023-01-07 09:22:36.078039,2023-01-07,9,2023-01,Saturday,Turkey,Turkey,"#peacenotwar, #putin",Negative,-0.2411,19,190
Refugees fleeing Ukraine into Poland and Romania. Heartbreaking scenes. #SlavaUkraini,refugees fleeing ukraine into poland and romania heartbreaking scenes #slavaukraini,2023-01-07 13:45:31.965982,2023-01-07,13,2023-01,Saturday,Palestine,Palestine,#slavaukraini,Negative,-0.4588,58,7
International diplomacy efforts ongoing. Summit scheduled for next week. #War #Conflict,international diplomacy efforts ongoing summit scheduled for next week #war #conflict,2023-01-07 18:08:27.853926,2023-01-07,18,2023-01,Saturday,United States,USA,"#war, #conflict",Negative,-0.7351,154,160
Russian military performance worse than expected. #Ukraine #Russia #Russia,russian military performance worse than expected #ukraine #russia #russia,2023-01-07 22:31:23.741870,2023-01-07,22,2023-01,Saturday,Ukraine,Ukraine,"#ukraine, #russia, #russia",Negative,-0.4767,6,50
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #StopRussia #SlavaUkraini,prayers for the people of ukraine this war must end #standwithukraine #ukraine #stoprussia #slavaukraini,2023-01-08 02:54:19.629814,2023-01-08,2,2023-01,Sunday,,Other,"#standwithukraine, #ukraine, #stoprussia, #slavaukraini",Negative,-0.6833,82,51
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Putin,russias economy under massive pressure from sanctions #russiaukraine #putin,2023-01-08 07:17:15.517758,2023-01-08,7,2023-01,Sunday,France,France,"#russiaukraine, #putin",Negative,-0.296,2,56
Both Israelis and Palestinians deserve peace and security. #MiddleEast #IsraelHamasWar #Gaza,both israelis and palestinians deserve peace and security #middleeast #israelhamaswar #gaza,2023-01-08 11:40:11.405702,2023-01-08,11,2023-01,Sunday,,Other,"#middleeast, #israelhamaswar, #gaza",Positive,0.7096,100,121
Israel has the right to defend itself against Hamas attacks. #Israel #Gaza,israel has the right to defend itself against hamas attacks #israel #gaza,2023-01-08 16:03:07.293646,2023-01-08,16,2023-01,Sunday,Ukraine,Ukraine,"#israel, #gaza",Negative,-0.4404,49,206
Israel has the right to defend itself against Hamas attacks. #Israel #Hamas,israel has the right to defend itself against hamas attacks #israel #hamas,2023-01-08 20:26:03.181590,2023-01-08,20,2023-01,Sunday,Israel,Israel,"#israel, #hamas",Negative,-0.4404,24,137
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #SlavaUkraini,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #slavaukraini,2023-01-09 00:48:59.069534,2023-01-09,0,2023-01,Monday,India,India,"#slavaukraini, #slavaukraini",Positive,0.7827,104,159
Aid must reach Gaza immediately. People are starving. #GazaAid #IsraelHamasWar #GazaUnderAttack,aid must reach gaza immediately people are starving #gazaaid #israelhamaswar #gazaunderattack,2023-01-09 05:11:54.957478,2023-01-09,5,2023-01,Monday,Germany,Germany,"#gazaaid, #israelhamaswar, #gazaunderattack",Negative,-0.4019,26,55
We stand with the Israeli people after the October 7 attacks. #Israel #Gaza,we stand with the israeli people after the october attacks #israel #gaza,2023-01-09 09:34:50.845422,2023-01-09,9,2023-01,Monday,Germany,Germany,"#israel, #gaza",Negative,-0.4404,5,279
Moscow protests against the war — brave Russians standing up. #AntiWar #RussiaUkraine #Russia,moscow protests against the war brave russians standing up #antiwar #russiaukraine #russia,2023-01-09 13:57:46.733366,2023-01-09,13,2023-01,Monday,France,France,"#antiwar, #russiaukraine, #russia",Negative,-0.34,0,282
More weapons needed for Ukraine to defend itself. #UkraineSupport #Ukraine #Zelensky,more weapons needed for ukraine to defend itself #ukrainesupport #ukraine #zelensky,2023-01-09 18:20:42.621310,2023-01-09,18,2023-01,Monday,Ukraine,Ukraine,"#ukrainesupport, #ukraine, #zelensky",Negative,-0.4927,17,47
Hamas must release all hostages immediately. #IsraelHamasWar #Hamas,hamas must release all hostages immediately #israelhamaswar #hamas,2023-01-09 22:43:38.509254,2023-01-09,22,2023-01,Monday,Poland,Poland,"#israelhamaswar, #hamas",Neutral,0.0,275,6
Israel has the right to defend itself against Hamas attacks. #Israel #IsraelHamasWar,israel has the right to defend itself against hamas attacks #israel #israelhamaswar,2023-01-10 03:06:34.397198,2023-01-10,3,2023-01,Tuesday,Russia,Russia,"#israel, #israelhamaswar",Negative,-0.4404,4,144
Russian forces advancing near Kharkiv. The world watches in horror. #UkraineWar #SlavaUkraini,russian forces advancing near kharkiv the world watches in horror #ukrainewar #slavaukraini,2023-01-10 07:29:30.285142,2023-01-10,7,2023-01,Tuesday,Israel,Israel,"#ukrainewar, #slavaukraini",Negative,-0.5719,23,55
Israel's response is disproportionate. Too many civilian casualties. #Gaza #IsraelHamasWar,israels response is disproportionate too many civilian casualties #gaza #israelhamaswar,2023-01-10 11:52:26.173086,2023-01-10,11,2023-01,Tuesday,Australia,Australia,"#gaza, #israelhamaswar",Neutral,0.0,40,66
Refugees welcome. We must help people fleeing conflict. #HumanitarianCrisis #War,refugees welcome we must help people fleeing conflict #humanitariancrisis #war,2023-01-10 16:15:22.061030,2023-01-10,16,2023-01,Tuesday,Israel,Israel,"#humanitariancrisis, #war",Negative,-0.128,6,125
Aid must reach Gaza immediately. People are starving. #GazaAid #Palestine,aid must reach gaza immediately people are starving #gazaaid #palestine,2023-01-10 20:38:17.948974,2023-01-10,20,2023-01,Tuesday,Russia,Russia,"#gazaaid, #palestine",Negative,-0.4019,81,457
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Sanctions #RussiaUkraine,russias economy under massive pressure from sanctions #russiaukraine #sanctions #russiaukraine,2023-01-11 01:01:13.836918,2023-01-11,1,2023-01,Wednesday,Germany,Germany,"#russiaukraine, #sanctions, #russiaukraine",Negative,-0.296,59,9
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #SlavaUkraini #NATO,prayers for the people of ukraine this war must end #standwithukraine #ukraine #slavaukraini #nato,2023-01-11 05:24:09.724862,2023-01-11,5,2023-01,Wednesday,,Other,"#standwithukraine, #ukraine, #slavaukraini, #nato",Negative,-0.6833,66,296
Media coverage of the war has been intense this week. #Conflict #War,media coverage of the war has been intense this week #conflict #war,2023-01-11 09:47:05.612806,2023-01-11,9,2023-01,Wednesday,France,France,"#conflict, #war",Negative,-0.8689,31,52
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Russia,russias economy under massive pressure from sanctions #russiaukraine #russia,2023-01-11 14:10:01.500750,2023-01-11,14,2023-01,Wednesday,,Other,"#russiaukraine, #russia",Negative,-0.296,16,63
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #IsraelHamasWar,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #israelhamaswar,2023-01-11 18:32:57.388694,2023-01-11,18,2023-01,Wednesday,United Kingdom,UK,"#gazaunderattack, #israelhamaswar",Negative,-0.802,4,251
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Putin,russias economy under massive pressure from sanctions #russiaukraine #putin,2023-01-11 22:55:53.276638,2023-01-11,22,2023-01,Wednesday,Italy,Other,"#russiaukraine, #putin",Negative,-0.296,8,108
Russian military performance worse than expected. #Ukraine #Russia #RussiaUkraine,russian military performance worse than expected #ukraine #russia #russiaukraine,2023-01-12 03:18:49.164582,2023-01-12,3,2023-01,Thursday,United Kingdom,UK,"#ukraine, #russia, #russiaukraine",Negative,-0.4767,1,17
More weapons needed for Ukraine to defend itself. #UkraineSupport #Zelensky #StandWithUkraine,more weapons needed for ukraine to defend itself #ukrainesupport #zelensky #standwithukraine,2023-01-12 07:41:45.052526,2023-01-12,7,2023-01,Thursday,Germany,Germany,"#ukrainesupport, #zelensky, #standwithukraine",Negative,-0.4927,40,175
Economic impact of the war being felt worldwide. #Conflict,economic impact of the war being felt worldwide #conflict,2023-01-12 12:04:40.940470,2023-01-12,12,2023-01,Thursday,Netherlands,Other,#conflict,Negative,-0.7351,14,38
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #Ukraine,prayers for the people of ukraine this war must end #standwithukraine #ukraine #ukraine,2023-01-12 16:27:36.828414,2023-01-12,16,2023-01,Thursday,Germany,Germany,"#standwithukraine, #ukraine, #ukraine",Negative,-0.6833,36,229
Russia's economy under massive pressure from sanctions. #RussiaUkraine #PeaceNotWar #RussiaUkraine,russias economy under massive pressure from sanctions #russiaukraine #peacenotwar #russiaukraine,2023-01-12 20:50:32.716358,2023-01-12,20,2023-01,Thursday,Italy,Other,"#russiaukraine, #peacenotwar, #russiaukraine",Negative,-0.296,27,184
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #Israel,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #israel,2023-01-13 01:13:28.604302,2023-01-13,1,2023-01,Friday,Italy,Other,"#gazaunderattack, #israel",Negative,-0.802,28,281
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #StopRussia,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #stoprussia,2023-01-13 05:36:24.492246,2023-01-13,5,2023-01,Friday,France,France,"#stoprussia, #stoprussia",Negative,-0.7717,30,221
Hamas must release all hostages immediately. #IsraelHamasWar #Palestine #Hamas,hamas must release all hostages immediately #israelhamaswar #palestine #hamas,2023-01-13 09:59:20.380190,2023-01-13,9,2023-01,Friday,India,India,"#israelhamaswar, #palestine, #hamas",Neutral,0.0,43,50
Propaganda from both sides. Hard to know the truth about #UkraineWar #Sanctions,propaganda from both sides hard to know the truth about #ukrainewar #sanctions,2023-01-13 14:22:16.268134,2023-01-13,14,2023-01,Friday,Germany,Germany,"#ukrainewar, #sanctions",Neutral,-0.0258,36,433
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #Palestine,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #palestine,2023-01-13 18:45:12.156078,2023-01-13,18,2023-01,Friday,Russia,Russia,"#gazaunderattack, #palestine",Negative,-0.802,6,74
Russian forces advancing near Kharkiv. The world watches in horror. #UkraineWar #UkraineWar,russian forces advancing near kharkiv the world watches in horror #ukrainewar #ukrainewar,2023-01-13 23:08:08.044022,2023-01-13,23,2023-01,Friday,Italy,Other,"#ukrainewar, #ukrainewar",Negative,-0.5719,49,10
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #IsraelHamasWar #Gaza,praying for peace in gaza too many innocent lives lost #gaza #palestine #israelhamaswar #gaza,2023-01-14 03:31:03.931965,2023-01-14,3,2023-01,Saturday,Italy,Other,"#gaza, #palestine, #israelhamaswar, #gaza",Positive,0.7269,38,309
More weapons needed for Ukraine to defend itself. #UkraineSupport #Ukraine #UkraineWar,more weapons needed for ukraine to defend itself #ukrainesupport #ukraine #ukrainewar,2023-01-14 07:53:59.819909,2023-01-14,7,2023-01,Saturday,Poland,Poland,"#ukrainesupport, #ukraine, #ukrainewar",Negative,-0.4927,58,223
Israel has the right to defend itself against Hamas attacks. #Israel #Gaza #Hamas,israel has the right to defend itself against hamas attacks #israel #gaza #hamas,2023-01-14 12:16:55.707853,2023-01-14,12,2023-01,Saturday,Ukraine,Ukraine,"#israel, #gaza, #hamas",Negative,-0.4404,10,99
International community must act to stop the bloodshed. #Palestine #Palestine #Gaza,international community must act to stop the bloodshed #palestine #palestine #gaza,2023-01-14 16:39:51.595797,2023-01-14,16,2023-01,Saturday,France,France,"#palestine, #palestine, #gaza",Negative,-0.296,21,125
Sanctions on Russia will hurt ordinary people most. Not fair. #Sanctions,sanctions on russia will hurt ordinary people most not fair #sanctions,2023-01-14 21:02:47.483741,2023-01-14,21,2023-01,Saturday,Turkey,Turkey,#sanctions,Negative,-0.6849,16,54
Israel has the right to defend itself against Hamas attacks. #Israel #Gaza,israel has the right to defend itself against hamas attacks #israel #gaza,2023-01-15 01:25:43.371685,2023-01-15,1,2023-01,Sunday,Russia,Russia,"#israel, #gaza",Negative,-0.4404,22,80
We stand with the Israeli people after the October 7 attacks. #Israel #Hamas,we stand with the israeli people after the october attacks #israel #hamas,2023-01-15 05:48:39.259629,2023-01-15,5,2023-01,Sunday,Russia,Russia,"#israel, #hamas",Negative,-0.4404,25,418
International community must act to stop the bloodshed. #Palestine #CeasefireNow #Hamas,international community must act to stop the bloodshed #palestine #ceasefirenow #hamas,2023-01-15 10:11:35.147573,2023-01-15,10,2023-01,Sunday,Italy,Other,"#palestine, #ceasefirenow, #hamas",Negative,-0.296,38,77
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #CeasefireNow #IsraelHamasWar,ceasefire needed now in gaza children are dying #ceasefirenow #ceasefirenow #israelhamaswar,2023-01-15 14:34:31.035517,2023-01-15,14,2023-01,Sunday,,Other,"#ceasefirenow, #ceasefirenow, #israelhamaswar",Neutral,0.0,37,147
International community must act to stop the bloodshed. #Palestine #Gaza,international community must act to stop the bloodshed #palestine #gaza,2023-01-15 18:57:26.923461,2023-01-15,18,2023-01,Sunday,United States,USA,"#palestine, #gaza",Negative,-0.296,23,72
The truth about Donbas is more complex than media shows. #RussiaUkraine #Sanctions #Putin,the truth about donbas is more complex than media shows #russiaukraine #sanctions #putin,2023-01-15 23:20:22.811405,2023-01-15,23,2023-01,Sunday,United States,USA,"#russiaukraine, #sanctions, #putin",Positive,0.3182,7,0
Russian propaganda is everywhere online. Stay critical. #InfoWar #UkraineWar #NATO,russian propaganda is everywhere online stay critical #infowar #ukrainewar #nato,2023-01-16 03:43:18.699349,2023-01-16,3,2023-01,Monday,Australia,Australia,"#infowar, #ukrainewar, #nato",Negative,-0.5106,26,324
International diplomacy efforts ongoing. Summit scheduled for next week. #UN #War,international diplomacy efforts ongoing summit scheduled for next week #un #war,2023-01-16 08:06:14.587293,2023-01-16,8,2023-01,Monday,Israel,Israel,"#un, #war",Negative,-0.5994,87,166
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #Israel,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #israel,2023-01-16 12:29:10.475237,2023-01-16,12,2023-01,Monday,France,France,"#gazaunderattack, #israel",Negative,-0.802,19,106
We stand with the Israeli people after the October 7 attacks. #Israel #Hamas,we stand with the israeli people after the october attacks #israel #hamas,2023-01-16 16:52:06.363181,2023-01-16,16,2023-01,Monday,Italy,Other,"#israel, #hamas",Negative,-0.4404,43,52
Western media bias against Russia is obvious. Two sides to every story. #RussiaUkraine #Russia,western media bias against russia is obvious two sides to every story #russiaukraine #russia,2023-01-16 21:15:02.251125,2023-01-16,21,2023-01,Monday,Russia,Russia,"#russiaukraine, #russia",Negative,-0.1027,140,118
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #SlavaUkraini,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #slavaukraini,2023-01-17 01:37:58.139069,2023-01-17,1,2023-01,Tuesday,France,France,"#ukraine, #slavaukraini",Negative,-0.6249,303,167
Israel's response is disproportionate. Too many civilian casualties. #Gaza #IsraelHamasWar,israels response is disproportionate too many civilian casualties #gaza #israelhamaswar,2023-01-17 06:00:54.027013,2023-01-17,6,2023-01,Tuesday,Turkey,Turkey,"#gaza, #israelhamaswar",Neutral,0.0,20,206
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #Zelensky,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #zelensky,2023-01-17 10:23:49.914957,2023-01-17,10,2023-01,Tuesday,Australia,Australia,"#ukraine, #zelensky",Negative,-0.6249,73,1
Sanctions on Russia will hurt ordinary people most. Not fair. #PeaceNotWar #Russia,sanctions on russia will hurt ordinary people most not fair #peacenotwar #russia,2023-01-17 14:46:45.802901,2023-01-17,14,2023-01,Tuesday,India,India,"#peacenotwar, #russia",Negative,-0.6849,159,50
More weapons needed for Ukraine to defend itself. #UkraineSupport #StopRussia,more weapons needed for ukraine to defend itself #ukrainesupport #stoprussia,2023-01-17 19:09:41.690845,2023-01-17,19,2023-01,Tuesday,Israel,Israel,"#ukrainesupport, #stoprussia",Negative,-0.4927,35,113
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #Ukraine #StandWithUkraine,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #ukraine #standwithukraine,2023-01-17 23:32:37.578789,2023-01-17,23,2023-01,Tuesday,,Other,"#ukraine, #ukraine, #standwithukraine",Negative,-0.6249,42,111
Supporting Ukraine but not blindly. Need peace negotiations now. #Russia #Sanctions,supporting ukraine but not blindly need peace negotiations now #russia #sanctions,2023-01-18 03:55:33.466733,2023-01-18,3,2023-01,Wednesday,Ukraine,Ukraine,"#russia, #sanctions",Negative,-0.4263,209,219
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #StandWithUkraine,zelenskys speech was powerful and moving ukraine will not fall #ukraine #standwithukraine,2023-01-18 08:18:29.354677,2023-01-18,8,2023-01,Wednesday,Italy,Other,"#ukraine, #standwithukraine",Positive,0.4215,2,48
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #GazaUnderAttack #CeasefireNow,ceasefire needed now in gaza children are dying #ceasefirenow #gazaunderattack #ceasefirenow,2023-01-18 12:41:25.242621,2023-01-18,12,2023-01,Wednesday,Russia,Russia,"#ceasefirenow, #gazaunderattack, #ceasefirenow",Neutral,0.0,21,51
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #Israel #Gaza,praying for peace in gaza too many innocent lives lost #gaza #palestine #israel #gaza,2023-01-18 17:04:21.130565,2023-01-18,17,2023-01,Wednesday,Poland,Poland,"#gaza, #palestine, #israel, #gaza",Positive,0.7269,9,4
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #NATO #Zelensky,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #nato #zelensky,2023-01-18 21:27:17.018509,2023-01-18,21,2023-01,Wednesday,Palestine,Palestine,"#stoprussia, #nato, #zelensky",Negative,-0.7717,8,64
